GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LAB2,lab2,GameObject,88,48,14,0,19,11,11,6,4,6
LAB2,lab2,Garage,124,0,16,0,25,0,14,0,6,0
LAB2,lab2,Vehicle,0,187,0,8,0,48,0,24,0,20
LAB2,lab2,ConditionallyMovableVehicle,0,38,0,4,0,7,0,7,0,5
LAB2,lab2,Volvo240,0,39,0,0,0,6,0,5,0,5
LAB2,lab2,VolvoFH16,128,82,22,6,29,18,18,9,5,8
LAB2,lab2,Scania,0,82,0,8,0,19,0,10,0,6
LAB2,lab2,Saab95,0,48,0,2,0,8,0,7,0,6
